CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,82110000,82210000,82220000,82440000,82990000,51410000,54110000,54210000,54310000,54510000,54610000,92240000,92210000,79990000
8250052.02,52.02,825,Calgary,B,48825,48,Alberta,3,1,0,0,2,0,3,0,0,0,0,1,0,1
4620881.02,881.02,462,Montréal,B,24462,24,Quebec / Québec,4,0,0,0,3,0,5,0,0,0,1,0,0,0
5350366,366,535,Toronto,B,35535,35,Ontario,4,2,0,0,6,0,9,0,0,0,2,1,0,0
8350120.01,120.01,835,Edmonton,B,48835,48,Alberta,4,0,0,0,14,0,13,0,0,0,1,1,0,6
9300010,10,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,2,2,0,0,2,0,1,0,0,0,0,0,0,0
8250038.07,38.07,825,Calgary,B,48825,48,Alberta,1,1,0,0,0,0,2,0,0,0,1,0,0,0
9330282.02,282.02,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,8,0,0,0,0,0,2,0,0,0,0,0,0,1
4620034,34,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,1,4,1,0,0,3,0,0,0
5050127,127,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,4,0,0,0,2,0,0,1,0,0,0,0,3,1
9250002,2,925,Kamloops,K,59925,59,British Columbia / Colombie-Britannique,2,0,0,0,2,0,0,0,0,0,0,0,0,1
5410001.01,1.01,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,4,3,0,0,2,0,2,0,0,0,0,1,0,2
5350363.05,363.05,535,Toronto,B,35535,35,Ontario,2,1,0,0,0,0,2,0,0,0,0,0,0,0
9300016,16,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,3,1,0,0,1,0,2,0,0,0,0,1,0,0
4620450,450,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,4,1,2,0,0,0,3,0,0,8
4620258,258,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,0,0,0,9,0,0,0,1,0,0,0
8350005.08,5.08,835,Edmonton,B,48835,48,Alberta,4,0,0,0,3,0,1,0,0,0,0,0,0,1
5390018.02,18.02,539,St. Catharines - Niagara,B,35539,35,Ontario,6,0,0,0,1,0,2,0,1,0,0,0,0,1
5050160.03,160.03,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,2,0,0,0,9,1,1,1,0,0,0,0,0,11
8250050.14,50.14,825,Calgary,B,48825,48,Alberta,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5680004.03,4.03,568,Barrie,B,35568,35,Ontario,2,0,0,0,1,0,0,0,0,0,0,0,0,0
4210023,23,421,Québec,B,24421,24,Quebec / Québec,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5050125.05,125.05,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,8,0,0,0,3,0,1,0,0,0,0,0,0,1
9330027.01,27.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,0,0,0,4,0,0,0,2,0,1,0,0,1
6020141.02,141.02,602,Winnipeg,B,46602,46,Manitoba,2,0,0,0,3,0,1,1,0,0,1,0,0,0
8350014,14,835,Edmonton,B,48835,48,Alberta,7,0,0,0,1,0,2,2,0,0,0,0,0,2
5320007,7,532,Oshawa,B,35532,35,Ontario,4,0,0,0,2,0,2,0,0,1,0,0,0,0
5050056,56,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,4,0,0,0,2,0,1,0,0,0,1,0,0,0
4620675,675,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,0,2,0,2,0,0,0,0,0,0,0
9330149.05,149.05,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4620282,282,462,Montréal,B,24462,24,Quebec / Québec,2,0,0,0,1,0,3,1,2,0,5,0,0,0
8350075.02,75.02,835,Edmonton,B,48835,48,Alberta,8,0,0,0,1,0,0,0,0,0,0,0,0,2
9350111.02,111.02,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,3,0,0,0,1,0,0,0,0,0,2,0,0,1
4620880,880,462,Montréal,B,24462,24,Quebec / Québec,9,0,0,0,1,0,4,0,0,0,0,1,3,1
5350171,171,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,3,0,0,0,4,0,0,0
4620658.02,658.02,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4210846.02,846.02,421,Québec,B,24421,24,Quebec / Québec,2,0,0,0,0,1,5,0,0,0,0,0,0,1
5050141.08,141.08,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4210320.03,320.03,421,Québec,B,24421,24,Quebec / Québec,0,0,0,0,2,0,5,2,1,0,0,2,0,1
4080003.01,3.01,408,Saguenay,B,24408,24,Quebec / Québec,1,0,0,0,4,1,2,0,0,0,1,0,0,0
8350065.03,65.03,835,Edmonton,B,48835,48,Alberta,0,0,0,0,1,1,1,0,0,0,0,0,0,1
5590037,37,559,Windsor,B,35559,35,Ontario,11,0,0,0,4,1,3,0,0,0,2,1,1,0
4620264.01,264.01,462,Montréal,B,24462,24,Quebec / Québec,2,3,1,0,0,0,3,0,0,0,0,0,0,3
8250203,203,825,Calgary,B,48825,48,Alberta,8,1,0,0,1,0,1,0,0,0,1,2,1,2
9350124,124,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,6,0,0,0,1,0,1,0,0,0,0,0,0,4
9150013,13,915,Kelowna,B,59915,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,1,0,1,0,0,0,0,2
4620383.01,383.01,462,Montréal,B,24462,24,Quebec / Québec,2,1,0,0,3,0,1,1,1,0,0,0,0,0
4620197,197,462,Montréal,B,24462,24,Quebec / Québec,3,1,0,0,3,0,4,0,0,0,1,0,0,2
4210290.01,290.01,421,Québec,B,24421,24,Quebec / Québec,1,1,0,0,0,0,2,0,0,0,1,0,0,4
9330186.08,186.08,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,1,0,0,1,0,1,0,1,0,1,0,0,0
4620059,59,462,Montréal,B,24462,24,Quebec / Québec,0,3,1,0,0,0,6,1,2,0,0,2,1,3
4620807.01,807.01,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,0,2,0,1,1,1,1,3,0,1,4
8250205.03,205.03,825,Calgary,B,48825,48,Alberta,13,3,0,0,9,0,1,1,0,2,1,1,1,14
5350502.02,502.02,535,Toronto,B,35535,35,Ontario,4,0,0,0,1,0,0,0,0,0,0,0,0,0
5350068,68,535,Toronto,B,35535,35,Ontario,1,1,0,0,1,0,6,0,0,0,0,0,0,0
5050904,904,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,0,0,0,0,0,0,1,0,0,0,0,2,0,1
5370222.02,222.02,537,Hamilton,B,35537,35,Ontario,8,0,0,0,2,0,3,0,0,0,0,0,0,1
5350357.01,357.01,535,Toronto,B,35535,35,Ontario,2,1,0,0,2,0,9,1,0,1,2,0,0,1
4620511.01,511.01,462,Montréal,B,24462,24,Quebec / Québec,5,0,0,0,0,0,1,0,0,0,0,0,0,1
5350119,119,535,Toronto,B,35535,35,Ontario,6,0,0,0,1,1,2,0,0,0,0,0,0,1
5410002.1,2.1,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,1,0,0,0,1,0,1,1,0,0,0,0,0,1
5350106,106,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,5,0,0,0,3,0,0,1
5350410.13,410.13,535,Toronto,B,35535,35,Ontario,9,0,0,0,0,0,4,1,0,0,4,2,0,1
5050131.01,131.01,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,10,0,0,0,0,0,3,0,0,0,0,2,0,0
5350024,24,535,Toronto,B,35535,35,Ontario,0,0,0,0,7,0,4,0,1,0,3,1,0,1
