CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,41110000,41310000,41510000,41190000,80110000,80210000,80410000,80420000,80490000,83510000,82310000,83310000,83220000,79910000,79970000,84120000,86610000
5210200.00,0200.00,521,Kingston,B,35521,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5350317.02,0317.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2
4330400.01,0400.01,433,Sherbrooke,B,24433,24,Quebec / Québec,0,0,0,0,1,3,3,0,1,1,0,0,0,2,0,0,1
5350279.02,0279.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,2,7,0,2,0,3,0,1,2,2,1,1,13
4620416.02,0416.02,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
5350576.06,0576.06,535,Toronto,B,35535,35,Ontario,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,2
5350029.00,0029.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,3,2,1,1,2,2,0,0,2,1,0,1,15
5350312.03,0312.03,535,Toronto,B,35535,35,Ontario,0,0,0,0,40,15,0,4,0,1,0,0,4,0,0,0,15
9320009.01,0009.01,932,Abbotsford - Mission,B,59932,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10
2050100.00,0100.00,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,0,0,0,1,14,7,0,0,1,2,0,0,0,4,0,0,4
3050016.02,0016.02,305,Moncton,B,13305,13,New Brunswick / Nouveau-Brunswick,0,0,0,0,1,0,0,2,1,2,1,0,0,1,0,0,22
3100120.03,0120.03,310,Saint John,B,13310,13,New Brunswick / Nouveau-Brunswick,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,7
8250072.00,0072.00,825,Calgary,B,48825,48,Alberta,0,0,0,3,1,1,0,0,0,3,0,0,0,0,0,0,18
5350442.06,0442.06,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0
5350304.02,0304.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,0
6020113.00,0113.00,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7
4080100.00,0100.00,408,Saguenay,B,24408,24,Quebec / Québec,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,1
5370211.00,0211.00,537,Hamilton,B,35537,35,Ontario,0,0,0,0,12,0,7,3,6,1,0,0,2,2,0,0,1
0010170.02,0170.02,001,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,0,0,0,0,4,2,0,0,1,0,0,0,1,2,0,0,3
4620036.00,0036.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1
5590019.05,0019.05,559,Windsor,B,35559,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4620237.00,0237.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,2,7,0,2,4,2,0,1,1,0,0,0,5
8100100.01,0100.01,810,Lethbridge,K,48810,48,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8250074.00,0074.00,825,Calgary,B,48825,48,Alberta,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3
5050170.04,0170.04,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1
9300006.00,0006.00,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,12
5350800.02,0800.02,535,Toronto,B,35535,35,Ontario,1,0,0,1,2,4,4,0,3,1,0,0,1,6,2,0,8
9330504.13,0504.13,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,5,3,4,1,4,1,1,0,6,5,0,0,4
8250005.00,0005.00,825,Calgary,B,48825,48,Alberta,0,0,0,0,30,51,7,9,17,2,0,0,2,3,0,0,1
5350362.02,0362.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,5
4210900.00,0900.00,421,Québec,B,24421,24,Quebec / Québec,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,4
5370003.03,0003.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
9330504.07,0504.07,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,1,4,7,6,3,2,1,1,0,2,0,1,0,2
3200018.00,0018.00,320,Fredericton,K,13320,13,New Brunswick / Nouveau-Brunswick,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6
5500001.06,0001.06,550,Guelph,B,35550,35,Ontario,1,0,0,0,1,6,4,1,3,2,0,0,3,3,0,0,3
4620117.00,0117.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,17,1,0,3,0,2,0,0,0,0,0,1,5
2050121.07,0121.07,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5350576.35,0576.35,535,Toronto,B,35535,35,Ontario,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1
5680004.04,0004.04,568,Barrie,B,35568,35,Ontario,0,0,0,0,0,3,5,1,1,1,0,0,0,1,0,0,3
5800001.02,0001.02,580,Greater Sudbury / Grand Sudbury,B,35580,35,Ontario,0,0,0,0,13,3,1,0,5,1,0,0,0,4,0,0,11
8350059.00,0059.00,835,Edmonton,B,48835,48,Alberta,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,16
9330221.01,0221.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4330300.01,0300.01,433,Sherbrooke,B,24433,24,Quebec / Québec,0,0,0,1,0,4,0,0,2,1,0,1,0,0,0,0,2
5050133.00,0133.00,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,10,17,2,2,2,2,0,1,1,1,0,2,6
8350151.02,0151.02,835,Edmonton,B,48835,48,Alberta,0,0,0,0,6,4,0,2,1,1,0,0,1,0,0,0,5
4620584.00,0584.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,3
4620286.00,0286.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
5900004.00,0004.00,590,Sault Ste. Marie,K,35590,35,Ontario,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2
5350576.33,0576.33,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
4620637.02,0637.02,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,8,0,0,2,2,0,0,0,3,0,0,0
